promotion,bouts,fighters,mean_rating,median_rating,p75_rating,vs_ufc,ratable
Valor Fights,6,12,0.1298,0.0986,0.2056,-0.3469,False
DWM Fight Night,2,4,0.1298,0.2211,0.2846,-0.3469,False
UC,4,8,0.1296,0.2365,0.4527,-0.3471,False
FK,1,2,0.1295,0.1295,0.3461,-0.3472,False
Hardcore FC,17,20,0.1295,0.2455,0.4074,-0.3472,False
FFV,2,4,0.1286,-0.2496,0.2487,-0.3481,False
FA,7,14,0.1284,0.0584,0.515,-0.3483,False
MMA Cup Moscow,1,2,0.1283,0.1283,0.2519,-0.3484,False
Las Vegas MMA,1,2,0.1283,0.1283,0.3444,-0.3484,False
Fight1,2,4,0.128,0.1011,0.4372,-0.3487,False
CSFU,4,6,0.1273,-0.1064,0.3145,-0.3494,False
Rocktagon MMA,2,4,0.127,-0.3398,0.3816,-0.3497,False
OSE Professional,1,2,0.1266,0.1266,0.3422,-0.3501,False
Voronezh Fight Club,1,2,0.1266,0.1266,0.3422,-0.3501,False
ROD FC,1,2,0.1266,0.1266,0.3422,-0.3501,False
NoF,2,4,0.1265,0.1622,0.6323,-0.3502,False
VCFC,1,2,0.1262,0.1262,0.3416,-0.3505,False
Fatality Arena,2,4,0.1262,0.054,0.4701,-0.3505,False
MTC,1,2,0.126,0.126,0.2007,-0.3507,False
Fight Card Entertainment,2,4,0.1259,-0.0293,0.3714,-0.3508,False
TFC,24,42,0.1258,0.1208,0.7335,-0.3509,False
Fight Pro Championship,2,3,0.1258,0.2144,0.2714,-0.3509,False
Qadya,1,2,0.1257,0.1257,0.3409,-0.351,False
Cageside Promotions,5,7,0.1252,0.2497,0.3158,-0.3515,False
ABG,6,9,0.1251,0.1032,0.6287,-0.3516,False
JCK Night Cage Series,1,2,0.1248,0.1248,0.3397,-0.3519,False
Sunkin International Fight Club,1,2,0.1248,0.1248,0.3397,-0.3519,False
QLFC,1,2,0.1248,0.1248,0.3397,-0.3519,False
Huya FC,1,2,0.1248,0.1248,0.3397,-0.3519,False
SFC,61,95,0.1247,-0.0187,0.5564,-0.352,True
WTE,13,17,0.1246,0.2839,0.4073,-0.3521,False
TFS,8,14,0.1244,-0.0508,0.502,-0.3523,False
Northeast MMA,1,2,0.1243,0.1243,0.2492,-0.3524,False
OT,3,4,0.124,0.3242,0.3242,-0.3527,False
FMMA,2,4,0.124,-0.024,0.3766,-0.3527,False
Cage Titans FC,103,101,0.123,0.0472,0.5117,-0.3537,True
Aggrelin,14,19,0.1228,-0.1795,0.7752,-0.3539,False
WKA,2,4,0.1227,0.0297,0.4688,-0.354,False
Kaiser Fight Night,2,4,0.1225,0.1822,0.4072,-0.3542,False
CCS,2,4,0.1224,-0.0156,0.3856,-0.3543,False
EMMA,10,18,0.1223,0.1159,0.4389,-0.3544,False
Ambitions Fighting Championship,1,2,0.1212,0.1212,0.3349,-0.3555,False
I.M. Poddubnogo Sports Club,1,2,0.1212,0.1212,0.3349,-0.3555,False
CGC,1,2,0.1208,0.1208,0.2468,-0.3559,False
Xtreme Fighting Alliance,1,2,0.1202,0.1202,0.2465,-0.3565,False
PFB,1,2,0.1192,0.1192,0.3322,-0.3575,False
Leal Combat,1,2,0.1192,0.1192,0.3322,-0.3575,False
AGF,1,2,0.1192,0.1192,0.3322,-0.3575,False
FSLB,2,3,0.1192,0.1192,0.5451,-0.3575,False
IDC,3,5,0.119,0.1814,0.7712,-0.3577,False
Number,3,5,0.1189,0.0613,0.7315,-0.3578,False
Shogun Fights,2,4,0.1188,0.0306,0.4429,-0.3579,False
Bizzarro Promotions,3,5,0.1186,0.1043,0.509,-0.3581,False
Honneur et Gloire,3,5,0.1183,0.0452,0.3242,-0.3584,False
305 Fights,2,4,0.118,0.043,0.4527,-0.3587,False
AXFC,3,5,0.1171,0.0333,0.5458,-0.3596,False
VFS,1,2,0.117,0.117,0.1338,-0.3597,False
Aralas Zhekpe-Zhek,1,2,0.1164,0.1164,0.3284,-0.3603,False
Alfa FC,1,2,0.1164,0.1164,0.3284,-0.3603,False
ZMMA,1,2,0.1164,0.1164,0.3284,-0.3603,False
Alem Fighters,1,2,0.1164,0.1164,0.3284,-0.3603,False
King Kombat,2,4,0.1162,0.1795,0.7624,-0.3605,False
LKO,1,2,0.1158,0.1158,0.2436,-0.3609,False
XFE,5,7,0.1153,0.3455,0.5439,-0.3614,False
WCFC,1,2,0.1149,0.1149,0.3263,-0.3618,False
LXF,17,22,0.1134,-0.0556,0.6136,-0.3633,False
Masurian Fighting Championship,1,2,0.1133,0.1133,0.1387,-0.3634,False
CFS,25,40,0.113,-0.1642,0.6507,-0.3637,True
Nemesis Fighting Alliance,3,5,0.1128,-0.1494,0.2397,-0.3639,False
CAGE,9,13,0.1121,0.0989,0.3646,-0.3646,False
XFL,16,24,0.1115,0.3021,0.4677,-0.3652,False
PLMMA 62 / AFC,1,2,0.1115,0.1115,0.3637,-0.3652,False
Lux Combat,1,2,0.1114,0.1114,0.3217,-0.3653,False
LAMMQ,1,2,0.1113,0.1113,0.3215,-0.3654,False
RECU,1,2,0.1113,0.1113,0.3215,-0.3654,False
Z Promotions,1,2,0.1113,0.1113,0.3215,-0.3654,False
Mongol FC,1,2,0.1113,0.1113,0.3215,-0.3654,False
IF,8,15,0.1112,0.0345,0.5192,-0.3655,False
Stone MMA,1,2,0.1112,0.1112,0.3213,-0.3655,False
Spartans Fight,1,2,0.1112,0.1112,0.3213,-0.3655,False
KOF,1,2,0.1109,0.1109,0.3449,-0.3658,False
WOW,13,16,0.1108,0.2565,0.2565,-0.3659,False
Punch Fight,2,4,0.1106,0.0646,0.5061,-0.3661,False
GEMMAF,5,6,0.1101,-0.0156,0.4523,-0.3666,False
AUFC,27,30,0.1094,-0.0121,0.6545,-0.3673,True
EBR,2,4,0.1094,0.0101,0.409,-0.3673,False
OFG,3,4,0.109,0.2991,0.2991,-0.3677,False
Budo,19,29,0.1089,0.057,0.9012,-0.3678,False
ARMMADA,6,11,0.1085,0.0743,0.3738,-0.3682,False
URF,3,5,0.1076,0.2017,0.4531,-0.3691,False
Upper Fight,1,2,0.1069,0.1069,0.3156,-0.3698,False
VAF,1,2,0.1069,0.1069,0.3156,-0.3698,False
Combate Americas,12,20,0.1066,0.1315,0.3494,-0.3701,False
IRFA,11,16,0.1059,0.2028,0.8974,-0.3708,False
GEC,5,8,0.1052,0.0317,0.3441,-0.3715,False
Peru FC,2,4,0.105,0.103,0.5714,-0.3717,False
Shooto Lithuania,14,17,0.105,0.0116,0.5761,-0.3717,False
Conquest Promotions,2,4,0.1046,-0.0208,0.3658,-0.3721,False
Unified,10,9,0.1045,0.4889,0.4889,-0.3722,False
Hardcore MMA,2,4,0.1038,0.335,0.4262,-0.3729,False
Fusion Fighting Championship,2,3,0.1036,0.2189,0.3237,-0.3731,False
Imortal,2,4,0.1036,0.1608,0.2816,-0.3731,False
Dakota FC / Ultimate Productions,1,2,0.1032,0.1032,0.3106,-0.3735,False
AMA,1,2,0.103,0.103,0.3102,-0.3737,False
Tatya,1,2,0.103,0.103,0.3102,-0.3737,False
Siberian League,8,10,0.1028,-0.083,0.6071,-0.3739,False
CLIP,2,3,0.1015,0.1015,0.515,-0.3752,False
Noc Skorpiona,1,2,0.1013,0.1013,0.3079,-0.3754,False
United Glory,1,2,0.1011,0.1011,0.2338,-0.3756,False
PKM,3,5,0.101,-0.0713,0.5578,-0.3757,False
3RT,3,6,0.1009,0.1002,0.3919,-0.3758,False
EVO MMA,1,2,0.1004,0.1004,0.6601,-0.3763,False
Crowbar MMA,2,4,0.1003,0.1693,0.3501,-0.3764,False
PRO,1,2,0.0997,0.0997,0.4539,-0.377,False
WSFC,5,9,0.0994,0.158,0.4006,-0.3773,False
TKO Palmas,2,3,0.0982,0.2105,0.3198,-0.3785,False
IPC,1,2,0.0981,0.0981,0.2318,-0.3786,False
Rey del Tatami,1,2,0.0979,0.0979,0.2317,-0.3788,False
CCA,1,2,0.0979,0.0979,0.2317,-0.3788,False
COBVT,2,3,0.0977,0.0269,0.176,-0.379,False
LATAMM,2,4,0.097,0.4421,0.6243,-0.3797,False
RFP,11,19,0.0968,0.0136,0.2752,-0.3799,False
Captains Fight Club,4,8,0.0965,0.1189,0.359,-0.3802,False
Fist Fight Combat,1,2,0.0955,0.0955,0.2301,-0.3812,False
MAMMAL,11,16,0.0949,-0.2526,0.7242,-0.3818,False
Star Striker,1,2,0.0946,0.0946,0.299,-0.3821,False
Chaos,4,7,0.0944,-0.2158,0.4295,-0.3823,False
Night of Heroes,1,2,0.0936,0.0936,0.2288,-0.3831,False
Shogun MMA,2,4,0.0935,0.0207,0.4604,-0.3832,False
ROAW,4,8,0.0928,-0.1237,0.4527,-0.3839,False
AXS TV Fights,1,2,0.0922,0.0922,0.45,-0.3845,False
IFL,8,15,0.0904,0.1282,0.5968,-0.3863,False
Kezen Fight,3,5,0.0903,-0.2566,0.73,-0.3864,False
SRP,1,2,0.0898,0.0898,0.2263,-0.3869,False
ProFC / GM Fight,7,13,0.0894,0.1252,0.3768,-0.3873,False
EFS,2,4,0.0888,-0.0091,0.0938,-0.3879,False
ATS Kombat,2,3,0.0887,0.2297,0.2837,-0.388,False
NDT,1,2,0.0886,0.0886,0.2255,-0.3881,False
CTT,1,2,0.0886,0.0886,0.2255,-0.3881,False
Villavo Fight Strong,1,2,0.0886,0.0886,0.2255,-0.3881,False
Revista Combate,1,2,0.0886,0.0886,0.2255,-0.3881,False
Chelyabinsk Martial Arts Festival,1,2,0.0884,0.0884,0.2906,-0.3883,False
EWMMA,1,2,0.0884,0.0884,0.2906,-0.3883,False
M-1 MFC,2,4,0.0883,0.0011,0.4488,-0.3884,False
AMF,8,10,0.0882,-0.0338,0.6206,-0.3885,False
GC,4,6,0.0881,0.218,0.4296,-0.3886,False
EMAA,4,6,0.0875,-0.154,0.6648,-0.3892,False
Fight Explosion,5,10,0.0868,-0.0625,0.3599,-0.3899,False
PFI,2,3,0.0864,0.1485,0.2186,-0.3903,False
Fierce,17,21,0.0861,-0.2518,0.8415,-0.3906,False
EPF,26,37,0.0859,0.2294,0.507,-0.3908,True
559 Fights,14,19,0.0854,0.1506,0.3124,-0.3913,False
Gigantes Fight Combat,1,2,0.0852,0.0852,0.2863,-0.3915,False
NEF,31,39,0.0846,0.1354,0.3439,-0.3921,True
National Fight Alliance,3,4,0.0843,0.1884,0.1884,-0.3924,False
GFL,2,3,0.0843,0.1451,0.2159,-0.3924,False
Triumph Fighter,2,3,0.0843,0.1451,0.2159,-0.3924,False
PAMMAA,1,2,0.0842,0.0842,0.2849,-0.3925,False
Bonito Eco Fight Combat,1,2,0.0842,0.0842,0.285,-0.3925,False
MMAF,1,2,0.0842,0.0842,0.2849,-0.3925,False
DCC,4,7,0.0825,0.0319,0.3601,-0.3942,False
USFFC,9,13,0.0823,-0.1384,0.4875,-0.3944,False
GP,4,8,0.082,-0.2056,0.5182,-0.3947,False
Burt Watson Promotions,1,2,0.0814,0.0814,0.4385,-0.3953,False
HC,16,23,0.0814,0.1105,0.4212,-0.3953,False
PLMMA 59 / AFC,1,2,0.0808,0.0808,0.3483,-0.3959,False
Batalha,7,12,0.08,0.1561,0.5436,-0.3967,False
Strife,4,6,0.079,0.1999,0.2598,-0.3977,False
Elev8 Fight League,2,3,0.0788,0.1358,0.2085,-0.3979,False
Strikeforce-EliteXC,1,2,0.0787,0.0787,0.3848,-0.398,False
Elite Amateur Fight League,3,6,0.0787,-0.0216,0.2095,-0.398,False
True Fight Fan,5,8,0.0782,0.2497,0.3197,-0.3985,False
MMA Battle Arena,10,18,0.0781,-0.115,0.5246,-0.3986,False
APF,4,7,0.0774,0.0495,0.3949,-0.3993,False
Conviction,1,2,0.0774,0.0774,0.4052,-0.3993,False
WEF,21,28,0.0773,0.254,0.3501,-0.3994,False
Slugfest,3,5,0.077,-0.0013,0.5907,-0.3997,False
BAMMA USA,4,8,0.0764,-0.1054,0.197,-0.4003,False
Trophee des Etoiles,1,2,0.0758,0.0758,0.4392,-0.4009,False
Invictus Fight,1,2,0.0755,0.0755,0.2732,-0.4012,False
Detentor Fight,1,2,0.0755,0.0755,0.2732,-0.4012,False
RAC,15,21,0.0754,0.2731,0.3745,-0.4013,False
WLMMA,43,63,0.0749,0.1208,0.5165,-0.4018,True
PCFC,3,6,0.0748,-0.1478,0.3063,-0.4019,False
TTB,1,2,0.0736,0.0736,0.2707,-0.4031,False
Double G,1,2,0.0736,0.0736,0.2707,-0.4031,False
Colosseum MMA,8,14,0.0735,0.0497,0.3346,-0.4032,False
PXM,2,3,0.0735,0.0735,0.4676,-0.4032,False
971 Fighting Championship,3,5,0.0731,-0.1013,0.5077,-0.4036,False
IUR Fighting Championships,9,13,0.0725,-0.1804,0.369,-0.4042,False
Absolute Championship Berkut,2,4,0.0721,0.1254,0.3109,-0.4046,False
WCF,8,12,0.0711,0.2512,0.3574,-0.4056,False
Max Sport,2,4,0.071,-0.1426,0.2087,-0.4057,False
IFO,2,4,0.0708,-0.3278,0.4579,-0.4059,False
Clan Wars,1,2,0.0707,0.0707,0.0719,-0.406,False
SHC,17,29,0.0694,0.1183,0.4258,-0.4073,False
PMW,2,3,0.0694,0.1629,0.3367,-0.4073,False
AMMO Fight League,4,7,0.0692,0.0698,0.3269,-0.4075,False
R.O.D. MMA,1,2,0.069,0.069,0.2125,-0.4077,False
MFN Brazil,1,2,0.0689,0.0689,0.7835,-0.4078,False
IMC,2,4,0.0686,-0.045,0.3376,-0.4081,False
FF,22,35,0.0683,0.019,0.3646,-0.4084,False
Hard Knocks Fight Promotions,1,2,0.0679,0.0679,0.3264,-0.4088,False
KP,2,4,0.0678,-0.0018,0.3735,-0.4089,False
Integracion MMA,1,2,0.0658,0.0658,0.1913,-0.4109,False
NP Fight Brazil,1,2,0.0656,0.0656,0.085,-0.4111,False
NLFC,4,8,0.0655,-0.2266,0.1772,-0.4112,False
NOW,25,33,0.0654,-0.0419,0.1204,-0.4113,True
PLMMA 18 Extra / Prime,2,4,0.0649,-0.0305,0.3432,-0.4118,False
CAMMA,1,2,0.0649,0.0649,0.0831,-0.4118,False
KnuckleUp MMA,2,4,0.0649,0.0295,0.4409,-0.4118,False
GCF,109,110,0.0648,0.022,0.4348,-0.4119,True
CF,12,23,0.0647,-0.1696,0.3918,-0.412,False
Hanuman Cup,5,7,0.0646,0.0455,0.4615,-0.4121,False
Lajeado Fight MMA,4,7,0.0635,-0.0438,0.354,-0.4132,False
Way of Warrior,1,2,0.0633,0.0633,0.2088,-0.4134,False
B1 MMA,2,4,0.0633,-0.2533,0.1589,-0.4134,False
Total MMA,1,2,0.0622,0.0622,0.2553,-0.4145,False
SA,1,2,0.0622,0.0622,0.2553,-0.4145,False
Magdeburger Cage,1,2,0.0621,0.0621,0.3462,-0.4146,False
FFAC,2,3,0.0618,0.1076,0.1858,-0.4149,False
House of Fame,2,4,0.0616,0.0807,0.3492,-0.4151,False
LLC,1,2,0.0611,0.0611,0.1123,-0.4156,False
Fighter Galla,1,2,0.0603,0.0603,0.2527,-0.4164,False
CT,1,2,0.0599,0.0599,0.2875,-0.4168,False
Professional Fight Union,5,8,0.0585,-0.0655,0.2714,-0.4182,False
FTS,2,3,0.0583,0.1683,0.2565,-0.4184,False
Evolve,1,2,0.0579,0.0579,0.2495,-0.4188,False
Alash Pride FC,1,2,0.0578,0.0578,0.2052,-0.4189,False
DB,9,15,0.0578,0.0804,0.6501,-0.4189,False
Xplode Fight Series,3,6,0.0577,-0.0277,0.2108,-0.419,False
GFS,1,2,0.0575,0.0575,0.2489,-0.4192,False
Supreme FC,1,2,0.0575,0.0575,0.2489,-0.4192,False
Maktub Fight Pro,1,2,0.0575,0.0575,0.2489,-0.4192,False
MFC,57,94,0.0574,-0.1496,0.4737,-0.4193,True
FE,5,8,0.0573,0.1105,0.5696,-0.4194,False
Ultimax,2,4,0.0572,0.0112,0.429,-0.4195,False
Turku,1,2,0.0566,0.0566,0.2043,-0.4201,False
TFGA,1,2,0.0566,0.0566,0.2043,-0.4201,False
Browar Polnocny Fight Night,1,2,0.0566,0.0566,0.2043,-0.4201,False
MMAGP,1,2,0.0566,0.0566,0.2043,-0.4201,False
Fight Promotion Showdown Goes Ruissalo,1,2,0.0566,0.0566,0.2043,-0.4201,False
WSC,16,22,0.0564,0.1288,0.4371,-0.4203,False
Zst,11,17,0.0562,0.0372,0.3861,-0.4205,False
Costa Combat,9,11,0.0557,0.3003,0.3003,-0.421,False
PFMMA,11,16,0.0556,0.1476,0.381,-0.4211,False
VFCL,5,10,0.0552,0.0887,0.3905,-0.4215,False
Ultimate Battle Grounds,8,14,0.0552,-0.0023,0.3678,-0.4215,False
Warfare,1,2,0.0548,0.0548,0.2454,-0.4219,False
IFC,23,39,0.0543,0.0268,0.3899,-0.4224,False
PMMAL,7,9,0.0541,0.3418,0.466,-0.4226,False
OFU,6,10,0.0538,0.003,0.3995,-0.4229,False
Rings Lithuania,10,11,0.0535,0.0116,0.4452,-0.4232,False
Gladiador,1,2,0.0526,0.0526,0.6748,-0.4241,False
Destiny MMA,10,15,0.0526,-0.0509,0.5605,-0.4241,False
NC,4,7,0.0514,-0.1628,0.3198,-0.4253,False
Spirit of the Warrior,2,4,0.0508,-0.0156,0.3263,-0.4259,False
SW,3,4,0.0497,0.0497,0.4273,-0.427,False
TKF,1,2,0.0497,0.0497,0.2385,-0.427,False
Reto MMA VZLA,1,2,0.0497,0.0497,0.2385,-0.427,False
BAF,2,4,0.0488,0.1266,0.5881,-0.4279,False
Smash Fight,1,2,0.0488,0.0488,0.2373,-0.4279,False
CTF,5,9,0.0477,0.1383,0.3153,-0.429,False
Lights Out,4,4,0.0456,0.1015,0.515,-0.4311,False
Parma Fights,1,2,0.0453,0.0453,0.2326,-0.4314,False
ZZ,2,3,0.0451,0.1892,0.2512,-0.4316,False
RMMA,10,18,0.0447,0.1022,0.3018,-0.432,False
NOF,4,8,0.0431,-0.0886,0.2841,-0.4336,False
Dynamite,2,4,0.0429,-0.1405,0.291,-0.4338,False
TWEF,1,2,0.0428,0.0428,0.1952,-0.4339,False
SIBT,1,2,0.0424,0.0424,0.3291,-0.4343,False
RF,23,33,0.0416,0.0116,0.3995,-0.4351,False
BCMMA,36,46,0.0415,-0.1314,0.3143,-0.4352,True
AFC MMA,4,7,0.0415,0.0701,0.7869,-0.4352,False
Altay Republik MMA League,7,9,0.0411,-0.1894,0.6071,-0.4356,False
Fighting Nexus,15,18,0.0411,0.117,0.3243,-0.4356,False
WWFC,23,33,0.041,0.0633,0.3391,-0.4357,False
Pro MMA Challenge,4,8,0.0406,0.5001,0.676,-0.4361,False
GEFC / FMMARC,1,2,0.0404,0.0404,0.226,-0.4363,False
Evolution,2,4,0.0398,0.0761,0.3383,-0.4369,False
Caged Steel,27,39,0.0396,-0.132,0.3485,-0.4371,True
FEMMAESP,1,2,0.039,0.039,0.2241,-0.4377,False
SUF,1,2,0.039,0.039,0.2241,-0.4377,False
Samara MMA Federation,2,4,0.0382,0.3531,0.5774,-0.4385,False
Urartu,2,3,0.038,0.038,0.4074,-0.4387,False
Free Fighting MMA,1,2,0.038,0.038,0.2227,-0.4387,False
HFSL,1,2,0.038,0.038,0.2227,-0.4387,False
LFN,8,12,0.0374,0.0566,0.4555,-0.4393,False
ESFA,1,2,0.0367,0.0367,0.2209,-0.44,False
EliteXC,4,6,0.0354,-0.1327,0.7075,-0.4413,False
COG,2,4,0.0352,0.0369,0.191,-0.4415,False
AFL,14,23,0.0342,0.0711,0.2839,-0.4425,False
RCWC,1,2,0.0342,0.0342,0.2177,-0.4425,False
Octogone,2,4,0.0337,-0.1567,0.3076,-0.443,False
Northwest Fight Challenge,1,2,0.0333,0.0333,0.189,-0.4434,False
Bushido Fighting Championship,2,4,0.0329,0.0003,0.4264,-0.4438,False
Frontline Fight Series,3,6,0.0327,0.0123,0.3993,-0.444,False
Premier,5,8,0.0318,0.0607,0.4359,-0.4449,False
Croatian MMA League,11,12,0.0318,-0.31,0.5265,-0.4449,False
Walkout,3,6,0.0313,-0.2621,0.4855,-0.4454,False
KOC,5,10,0.0301,-0.0714,0.1882,-0.4466,False
Shooto Latvia,1,2,0.029,0.029,0.3025,-0.4477,False
IMMAFA,1,2,0.0285,0.0285,0.21,-0.4482,False
Path to Hex,1,2,0.0285,0.0285,0.21,-0.4482,False
Savage Entertainment,1,2,0.0283,0.0283,0.2097,-0.4484,False
TPFP,1,2,0.0283,0.0283,0.2097,-0.4484,False
Torneio Gladiador,1,2,0.0272,0.0272,0.1849,-0.4495,False
R2 Combat,1,2,0.0272,0.0272,0.1849,-0.4495,False
CITC,2,4,0.027,0.057,0.247,-0.4497,False
Shootfighting Skagen,1,2,0.0268,0.0268,0.1847,-0.4499,False
WFCA Czech Republic,1,2,0.0268,0.0268,0.1847,-0.4499,False
FCF,7,12,0.0263,-0.0912,0.4646,-0.4504,False
FFEC,3,4,0.0254,-0.0655,0.273,-0.4513,False
AFS,20,23,0.0246,0.0469,0.1587,-0.4521,False
MMATC,2,4,0.0243,0.0203,0.3795,-0.4524,False
CXF,14,18,0.0235,-0.0463,0.2146,-0.4532,False
GPC,4,5,0.0233,0.0433,0.1344,-0.4534,False
Fight Club OC,3,6,0.0232,-0.0459,0.3749,-0.4535,False
Fatality Arena vs. Gringo Super Fight,1,2,0.0232,0.0232,0.2028,-0.4535,False
Ring XF,4,6,0.0232,0.0218,0.2884,-0.4535,False
BOC,1,2,0.0229,0.0229,0.2025,-0.4538,False
Karos K1 MMA Fight Series,1,2,0.0229,0.0229,0.2025,-0.4538,False
X-Fight,4,6,0.0221,0.1124,0.1305,-0.4546,False
GVT,5,7,0.0219,0.0683,0.2973,-0.4548,False
BKF,1,2,0.0206,0.0206,0.1994,-0.4561,False
Destiny Promotions,1,2,0.0205,0.0205,0.4391,-0.4562,False
Shooto Kings,2,4,0.0202,-0.3004,0.1367,-0.4565,False
Rod Fighting,6,9,0.0201,-0.0074,0.5546,-0.4566,False
Nitrix,2,3,0.0189,0.0662,0.4552,-0.4578,False
Samurai Pro Sports,2,3,0.0188,0.177,0.6435,-0.4579,False
FCM,1,2,0.0183,0.0183,0.1963,-0.4584,False
Acesso MMA,1,2,0.0183,0.0183,0.1963,-0.4584,False
NPMMA,1,2,0.0183,0.0183,0.1963,-0.4584,False
HKC,1,2,0.0183,0.0183,0.1963,-0.4584,False
VFE,1,2,0.0183,0.0183,0.1963,-0.4584,False
VFE / Brave CF,1,2,0.0183,0.0183,0.1963,-0.4584,False
CZ,6,9,0.0168,0.1451,0.1498,-0.4599,False
AMC Fight Nights,6,9,0.016,-0.0226,0.2626,-0.4607,False
Destiny MMA / Spirit MMA,1,2,0.0159,0.0159,0.1775,-0.4608,False
GA,2,4,0.0153,-0.066,0.3577,-0.4614,False
TPP,1,2,0.0152,0.0152,0.1921,-0.4615,False
Gladork Gym,7,13,0.0152,0.0768,0.3658,-0.4615,False
Furya,1,2,0.015,0.015,0.0207,-0.4617,False
FSF,3,5,0.0149,-0.0469,0.1766,-0.4618,False
KFE,1,2,0.0131,0.0131,0.1893,-0.4636,False
Noche de Titanes,1,2,0.0131,0.0131,0.1893,-0.4636,False
Ravage,4,7,0.0129,-0.171,0.35,-0.4638,False
War Of Gods,2,4,0.0127,-0.0009,0.372,-0.464,False
SUW,1,2,0.0126,0.0126,0.1886,-0.4641,False
RWC,4,7,0.0126,-0.2621,0.4281,-0.4641,False
MMA Pro Ukraine,5,8,0.0125,-0.0655,0.0542,-0.4642,False
AOC,3,5,0.0123,-0.0145,0.5512,-0.4644,False
Synergy,2,4,0.0122,-0.1994,0.1099,-0.4645,False
ECSF,35,45,0.0118,-0.0288,0.2645,-0.4649,True
Dark Night Nove Zamky,4,8,0.0117,0.167,0.4187,-0.465,False
YFC,3,5,0.0107,-0.2555,0.4381,-0.466,False
Megdan,2,4,0.0105,0.008,0.3542,-0.4662,False
GAMA,1,2,0.01,0.01,0.1852,-0.4667,False
Local Legends,1,2,0.01,0.01,0.1852,-0.4667,False
NEC,5,6,0.0093,-0.0461,0.1442,-0.4674,False
Mongol,2,4,0.0077,-0.1245,0.2348,-0.469,False
Victory Fighting Championship,5,10,0.0075,-0.1253,0.301,-0.4692,False
PCG,2,3,0.0075,0.0171,0.1134,-0.4692,False
KFC,3,5,0.0069,0.0064,0.2823,-0.4698,False
FNW,7,13,0.0069,-0.1329,0.2894,-0.4698,False
EFX,6,8,0.0069,-0.2787,0.7075,-0.4698,False
Nemesis Fighting,1,2,0.0061,0.0061,0.3484,-0.4706,False
Global Proving Ground / The Victorium,1,2,0.0061,0.0061,0.1711,-0.4706,False
ECF,1,2,0.0044,0.0044,0.1776,-0.4723,False
Perviy Club,1,2,0.004,0.004,0.177,-0.4727,False
RFCH,1,2,0.004,0.004,0.177,-0.4727,False
FightPro,1,2,0.004,0.004,0.177,-0.4727,False
Bator Fighting Championship,1,2,0.004,0.004,0.177,-0.4727,False
PIK,1,2,0.004,0.004,0.177,-0.4727,False
Aikol,1,2,0.004,0.004,0.177,-0.4727,False
NIF,6,11,0.0038,0.0411,0.4375,-0.4729,False
Eagles Fighting Championship,1,2,0.0036,0.0036,0.1766,-0.4731,False
CSFM,2,3,0.0036,0.0036,0.3495,-0.4731,False
XMA,1,2,0.003,0.003,0.169,-0.4737,False
XFM,1,2,0.003,0.003,0.169,-0.4737,False
LCC,3,6,0.0005,-0.2741,0.4557,-0.4762,False
Serbian Battle Championship,1,2,0.0003,0.0003,0.1672,-0.4764,False
Strike Off,2,4,0.0003,-0.0201,0.342,-0.4764,False
Fury Fight Series,1,2,-0.0005,-0.0005,0.1679,-0.4772,False
Battleground,1,2,-0.0008,-0.0008,0.1665,-0.4775,False
FFN,1,2,-0.0015,-0.0015,0.1661,-0.4782,False
DreamFC,1,2,-0.0019,-0.0019,0.1658,-0.4786,False
Rubao Fight Combat,4,6,-0.0022,0.1012,0.3411,-0.4789,False
Lewy Prosty,1,2,-0.0033,-0.0033,0.1619,-0.48,False
FPC,1,2,-0.0036,-0.0036,0.1177,-0.4803,False
AFF,5,10,-0.0045,0.0656,0.2295,-0.4812,False
BF,6,12,-0.0053,0.0397,0.4061,-0.482,False
KORE MMA,1,2,-0.0069,-0.0069,0.1625,-0.4836,False
Fight Star,10,15,-0.0075,0.1968,0.6338,-0.4842,False
TRUE TIME,1,2,-0.0075,-0.0075,0.1616,-0.4842,False
Sharks Fight,1,2,-0.0075,-0.0075,0.1616,-0.4842,False
Bushido Lithuania,15,21,-0.0094,-0.0058,0.4273,-0.4861,False
CS,20,24,-0.0104,-0.1832,0.2194,-0.4871,False
RFL,7,13,-0.0105,-0.2227,0.3026,-0.4872,False
Slam FC,2,3,-0.0109,-0.0109,0.3251,-0.4876,False
Sport Nocaut MMA,2,3,-0.011,0.0649,0.1012,-0.4877,False
Cage Control,1,2,-0.0117,-0.0117,0.156,-0.4884,False
Europa MMA,1,2,-0.0117,-0.0117,0.156,-0.4884,False
Samurai,3,6,-0.012,0.3657,0.6792,-0.4887,False
Israel Fighting Championship,1,2,-0.0122,-0.0122,-0.0003,-0.4889,False
SSP,4,6,-0.0122,-0.2848,0.3025,-0.4889,False
Rkena,2,4,-0.0126,-0.0282,0.303,-0.4893,False
BJFC,1,2,-0.0129,-0.0129,0.075,-0.4896,False
Gladiatus,1,2,-0.0137,-0.0137,0.1581,-0.4904,False
Gastro Fight Night,2,4,-0.0138,-0.171,0.0795,-0.4905,False
Capitao Fight,1,2,-0.014,-0.014,0.1529,-0.4907,False
SLAM,20,29,-0.0141,0.0804,0.2839,-0.4908,False
SC,11,19,-0.015,-0.0796,0.2826,-0.4917,False
AAMMA,1,2,-0.0152,-0.0152,0.1512,-0.4919,False
MCC,40,38,-0.0153,-0.1121,0.3428,-0.492,True
