promotion,bouts,fighters,mean_rating,median_rating,p75_rating,vs_ufc,ratable
TSF,1,2,0.5976,0.5976,0.7051,0.1209,False
fightFORCE,1,2,0.5956,0.5956,0.9836,0.1189,False
Road,7,9,0.5952,0.7285,1.3242,0.1185,False
Gordon Fight Nights,1,2,0.5934,0.5934,1.0376,0.1167,False
Kombat Goiano,3,5,0.5928,0.7087,1.0603,0.1161,False
ACB,74,90,0.5914,0.5456,0.9122,0.1147,True
FMC,2,3,0.5872,0.7968,0.9889,0.1105,False
Garcia Promotions,2,4,0.5868,0.6886,0.8511,0.1101,False
Strikeforce,15,21,0.5855,0.6908,1.1053,0.1088,False
Fighting Zone,2,4,0.5853,0.7245,1.234,0.1086,False
The AKO Show,9,12,0.5847,0.6144,1.0351,0.108,False
TZ,1,2,0.5834,0.5834,0.6346,0.1067,False
Global Fight Club,1,2,0.5831,0.5831,0.6904,0.1064,False
MFB,1,2,0.5802,0.5802,0.9623,0.1035,False
Fight for Glory,1,2,0.5802,0.5802,0.9623,0.1035,False
Dana White's Tuesday Night Contender Series,12,23,0.579,0.5905,0.9105,0.1023,False
PLMMA 24 Extra,1,2,0.5786,0.5786,0.7237,0.1019,False
Mangu Professional League,4,8,0.5775,0.5609,0.7489,0.1008,False
Brasil Fight,2,4,0.5742,0.2918,1.1968,0.0975,False
X-Fest,4,7,0.573,0.776,0.8408,0.0963,False
The King of Fighters,9,15,0.5722,0.2534,0.8775,0.0955,False
IMMAF-WMMAA,102,114,0.5718,0.4665,1.1363,0.0951,True
Flex Fight Series,3,5,0.5711,0.4251,1.5019,0.0944,False
Pyatigorsk Fighting,1,2,0.5711,0.5711,0.5935,0.0944,False
Legion Fighting Championship,5,8,0.5709,0.3396,1.1934,0.0942,False
Yuzhniy Rubezh,1,2,0.5694,0.5694,0.5881,0.0927,False
SLM,7,13,0.568,0.65,0.8159,0.0913,False
TFC Danghara,2,3,0.5679,0.6633,1.1546,0.0912,False
Qualify Combat,1,2,0.5663,0.5663,0.6151,0.0896,False
Slovakian Thaiboxing Association,1,2,0.5645,0.5645,0.7165,0.0878,False
WFF MX,1,2,0.5644,0.5644,0.9405,0.0877,False
Genesis Desert Combat Legion,1,2,0.5644,0.5644,0.9405,0.0877,False
The Cage,11,18,0.563,0.6623,0.8542,0.0863,False
Evolution Of Combat,7,11,0.5619,-0.002,1.8022,0.0852,False
Ryoshin Fighting Championship,8,12,0.5609,0.3784,0.8376,0.0842,False
Dominus,2,4,0.5585,0.5221,0.6624,0.0818,False
BMMAF,7,12,0.5572,0.4597,0.8824,0.0805,False
Kunlun Fight,4,7,0.5565,0.3728,0.8194,0.0798,False
K1EL,1,2,0.5554,0.5554,1.0089,0.0787,False
FNG,8,15,0.555,0.5355,0.7851,0.0783,False
Future,19,31,0.5549,0.4517,0.8143,0.0782,False
GMMA,2,3,0.5534,0.5534,1.297,0.0767,False
A1WCC,1,2,0.5531,0.5531,0.5697,0.0764,False
War Zone Fight Events,1,2,0.5528,0.5528,0.5692,0.0761,False
OR,2,4,0.5516,0.4401,0.9052,0.0749,False
Fight One,2,3,0.5507,0.5507,1.2922,0.074,False
IMMAF,153,156,0.5507,0.5714,0.8875,0.074,True
Galan Lord of the Cage,1,2,0.549,0.549,0.8224,0.0723,False
Curitiba Top Fight,2,4,0.5473,0.4245,0.6022,0.0706,False
NF,1,2,0.547,0.547,0.5616,0.0703,False
DWTC,1,2,0.5464,0.5464,0.9155,0.0697,False
C3 Fights,9,14,0.5464,0.2827,1.1324,0.0697,False
Evocke Fight,2,4,0.5455,0.1563,0.8571,0.0688,False
Gala Sportow Walki,1,2,0.5453,0.5453,0.5593,0.0686,False
Raw,1,2,0.5408,0.5408,0.9077,0.0641,False
SYWF,1,2,0.5397,0.5397,0.5518,0.063,False
GR Promotion,1,2,0.5389,0.5389,0.6588,0.0622,False
808 Battleground,1,2,0.5376,0.5376,0.5491,0.0609,False
Professional Fighter League Storm,3,5,0.5375,0.8984,1.0151,0.0608,False
SN,1,2,0.5352,0.5352,0.7437,0.0585,False
United Fighting Series,1,2,0.5334,0.5334,0.8976,0.0567,False
Brave CF,76,107,0.5314,0.5094,0.9889,0.0547,True
Oktagon MMA,495,327,0.5296,0.5778,0.9571,0.0529,True
XCage 6 / PLMMA,2,4,0.5296,0.759,0.7954,0.0529,False
PCE,1,2,0.5277,0.5277,0.677,0.051,False
Rogue Promotions,3,5,0.5273,0.4601,1.5015,0.0506,False
Alpha One Sports,6,10,0.5259,0.4369,1.0728,0.0492,False
UCC,2,4,0.5254,0.6436,0.7409,0.0487,False
NLF,1,2,0.525,0.525,0.8859,0.0483,False
CR,1,2,0.525,0.525,0.8859,0.0483,False
Xtreme Combat Productions,1,2,0.525,0.525,0.8859,0.0483,False
