event_uid,event_name,event_date,snapshot_kind,requested_snapshot,actual_snapshot,event_start_utc,api_event_id,commence_time,fighter_a,fighter_b,book_key,book_title,book_last_update,market_last_update,odds_a,odds_b,response_sha256
a7def4ca7bcf0c56a14a,UFC Fight Night: Kattar vs. Chikadze,2022-01-15,discovery_72h,2022-01-12T00:00:00+00:00,2022-01-11 23:55:00+00:00,2022-01-15T23:15:00+00:00,7f40e6524f521587d5c2d224a73ac051,2022-01-16T00:45:00Z,Jake Collier,Chase Sherman,draftkings,DraftKings,2022-01-11T23:45:15Z,2022-01-11T23:45:15Z,-130,110,7420401bc004ea4b7af91e5d9624a3765f09b059271f210b81663de472667e27
a7def4ca7bcf0c56a14a,UFC Fight Night: Kattar vs. Chikadze,2022-01-15,discovery_72h,2022-01-12T00:00:00+00:00,2022-01-11 23:55:00+00:00,2022-01-15T23:15:00+00:00,7f40e6524f521587d5c2d224a73ac051,2022-01-16T00:45:00Z,Jake Collier,Chase Sherman,sugarhouse,SugarHouse,2022-01-11T23:45:19Z,2022-01-11T23:45:19Z,-125,100,7420401bc004ea4b7af91e5d9624a3765f09b059271f210b81663de472667e27
a7def4ca7bcf0c56a14a,UFC Fight Night: Kattar vs. Chikadze,2022-01-15,discovery_72h,2022-01-12T00:00:00+00:00,2022-01-11 23:55:00+00:00,2022-01-15T23:15:00+00:00,7f40e6524f521587d5c2d224a73ac051,2022-01-16T00:45:00Z,Jake Collier,Chase Sherman,twinspires,TwinSpires,2022-01-11T23:45:16Z,2022-01-11T23:45:16Z,-125,100,7420401bc004ea4b7af91e5d9624a3765f09b059271f210b81663de472667e27
a7def4ca7bcf0c56a14a,UFC Fight Night: Kattar vs. Chikadze,2022-01-15,discovery_72h,2022-01-12T00:00:00+00:00,2022-01-11 23:55:00+00:00,2022-01-15T23:15:00+00:00,7f40e6524f521587d5c2d224a73ac051,2022-01-16T00:45:00Z,Jake Collier,Chase Sherman,betrivers,BetRivers,2022-01-11T23:46:54Z,2022-01-11T23:46:54Z,-125,100,7420401bc004ea4b7af91e5d9624a3765f09b059271f210b81663de472667e27
a7def4ca7bcf0c56a14a,UFC Fight Night: Kattar vs. Chikadze,2022-01-15,discovery_72h,2022-01-12T00:00:00+00:00,2022-01-11 23:55:00+00:00,2022-01-15T23:15:00+00:00,7f40e6524f521587d5c2d224a73ac051,2022-01-16T00:45:00Z,Jake Collier,Chase Sherman,barstool,Barstool Sportsbook,2022-01-11T23:45:15Z,2022-01-11T23:45:15Z,-125,100,7420401bc004ea4b7af91e5d9624a3765f09b059271f210b81663de472667e27
a7def4ca7bcf0c56a14a,UFC Fight Night: Kattar vs. Chikadze,2022-01-15,discovery_72h,2022-01-12T00:00:00+00:00,2022-01-11 23:55:00+00:00,2022-01-15T23:15:00+00:00,7f40e6524f521587d5c2d224a73ac051,2022-01-16T00:45:00Z,Jake Collier,Chase Sherman,bovada,Bovada,2022-01-11T23:46:38Z,2022-01-11T23:46:38Z,-130,108,7420401bc004ea4b7af91e5d9624a3765f09b059271f210b81663de472667e27
a7def4ca7bcf0c56a14a,UFC Fight Night: Kattar vs. Chikadze,2022-01-15,discovery_72h,2022-01-12T00:00:00+00:00,2022-01-11 23:55:00+00:00,2022-01-15T23:15:00+00:00,7f40e6524f521587d5c2d224a73ac051,2022-01-16T00:45:00Z,Jake Collier,Chase Sherman,unibet,Unibet,2022-01-11T23:43:54Z,2022-01-11T23:43:54Z,-125,100,7420401bc004ea4b7af91e5d9624a3765f09b059271f210b81663de472667e27
a7def4ca7bcf0c56a14a,UFC Fight Night: Kattar vs. Chikadze,2022-01-15,discovery_72h,2022-01-12T00:00:00+00:00,2022-01-11 23:55:00+00:00,2022-01-15T23:15:00+00:00,97507cf7f8d795f173a1aedd44d61188,2022-01-15T23:15:00Z,Ramiz Brahimaj,Court McGee,betfair,Betfair,2022-01-11T23:48:09Z,2022-01-11T23:48:09Z,100,-112,7420401bc004ea4b7af91e5d9624a3765f09b059271f210b81663de472667e27
a7def4ca7bcf0c56a14a,UFC Fight Night: Kattar vs. Chikadze,2022-01-15,discovery_72h,2022-01-12T00:00:00+00:00,2022-01-11 23:55:00+00:00,2022-01-15T23:15:00+00:00,97507cf7f8d795f173a1aedd44d61188,2022-01-15T23:15:00Z,Ramiz Brahimaj,Court McGee,betonlineag,BetOnline.ag,2022-01-11T23:46:07Z,2022-01-11T23:46:07Z,-111,-111,7420401bc004ea4b7af91e5d9624a3765f09b059271f210b81663de472667e27
a7def4ca7bcf0c56a14a,UFC Fight Night: Kattar vs. Chikadze,2022-01-15,discovery_72h,2022-01-12T00:00:00+00:00,2022-01-11 23:55:00+00:00,2022-01-15T23:15:00+00:00,97507cf7f8d795f173a1aedd44d61188,2022-01-15T23:15:00Z,Ramiz Brahimaj,Court McGee,lowvig,LowVig.ag,2022-01-11T23:46:25Z,2022-01-11T23:46:25Z,-110,-110,7420401bc004ea4b7af91e5d9624a3765f09b059271f210b81663de472667e27
a7def4ca7bcf0c56a14a,UFC Fight Night: Kattar vs. Chikadze,2022-01-15,discovery_72h,2022-01-12T00:00:00+00:00,2022-01-11 23:55:00+00:00,2022-01-15T23:15:00+00:00,97507cf7f8d795f173a1aedd44d61188,2022-01-15T23:15:00Z,Ramiz Brahimaj,Court McGee,williamhill_us,William Hill (US),2022-01-11T23:46:50Z,2022-01-11T23:46:50Z,-110,-110,7420401bc004ea4b7af91e5d9624a3765f09b059271f210b81663de472667e27
